comment,sentiment_scores,sentiment
"Great video! Is there any way to connect a personal database to this model? (So that the chat can answer questions based on the information in the database). I have a database in Postgre, already used RAG on it, but I have no idea how to connect the db and the chat. Any ideas?","{'neg': 0.064, 'neu': 0.889, 'pos': 0.047, 'compound': -0.2268}",Negative
"I had been using the program Ollama on my laptop, and it was utilizing 101% of my CPU's processing power. This excessive usage threatened to overheat my device and decrease its performance. Therefore, I decided that I would discontinue using the program.","{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.4588}",Negative
"""Now we have a prompt and a model, and we need to 'chain' these two together using... LangChain""
Your way of teaching is very simple to understand 😃👍🏻","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
"Wow, so cool ! You really nailed the tutorial🎉","{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.7707}",Positive
"I have not implemented myself, but I have doubt, you are using langchain where the model is llama 3.1, langchain manages everything here, then what's the use of Ollama ?","{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.5023}",Negative
"I have found FAISS vector store provides an effective and large capacity ""persistent memory"" with CUDA GPU support. Yes?😊","{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.7003}",Positive
"PS C:\Windows\system32> ollama pull llama3
Error: could not connect to ollama app, is it running? 

what seems to be wrong? (sorry for hte noob question)","{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.7476}",Negative
"New to the world of coding. Teaching myself through YT for now and this guy is clearly S Tier.

I like him and Programming with Moshs' tutorials . Any other recommendations? I'd prefer more vids like this with actual walkthroughs on my feed.","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.7717}",Positive
"Adding a context, of course, generates interesting results:  context"": ""Hot and Humid Summer""   --> chain invoke result =  To be honest, I'm struggling to cope with this hot and humid summer. The heat and humidity have been really draining me lately. It feels like every time I step outside, I'm instantly soaked in sweat. I just wish it would cool down a bit! How about you?  ...🥵","{'neg': 0.039, 'neu': 0.771, 'pos': 0.19, 'compound': 0.8748}",Positive
Hello! Tim when i run ollama directly there is no delay in response but using script with langchain some delay appear. Why is that? How to solve it?,"{'neg': 0.214, 'neu': 0.718, 'pos': 0.069, 'compound': -0.565}",Negative
"You may find it 'amusing' or 'interesting' that when I (nihilistically) prompted with ""Hello Cruel World!',  'llama3.1:8b' responded: "" A nod to the Smiths' classic song, 'How Soon is Now?' (also known as 'Hello, Hello, How are You?')  "" !?!?!🤣","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.7862}",Negative
"Sadly even though I have 32GB of ram, the 7B ""llama3"" takes up to 1 minute to answer","{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.4215}",Negative
Can you show us how to do RAG with llama3?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
The context will fill up the context windows very fast. You can store the conversations embedings with the messages in a vector database and pull the related parts from it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
"Can You teach us how to implement it in GUI form, i don't want to run the program every time i want help of this type things","{'neg': 0.09, 'neu': 0.81, 'pos': 0.099, 'compound': 0.3085}",Positive
Thank You.,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",Positive
"how coincidental, i made this project just 2 days ago","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Useful. keep doing,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",Positive
Thank you so much!!,"{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.4738}",Positive
Hi Tim - Now we can download Llama3.1 too... By the way can u also convert this to UI using streamlit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
do i need vram 4 this ?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
