comment,sentiment_scores,sentiment,subjectivity,word_count
"Thanks for watching everyone! Some Resources:
Free Kaggle Micro Courses: https://www.kaggle.com/learn/overview
365 Data Science - Courses ( 57% Annual Discount): https://365datascience.pxf.io/P0jbBY (Affiliate Link)","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.7574}",Positive,0.5,23
"When you mention having"" some python experience"" what does some consist of. I am very new and starting from zero and doing it all on my own from home. i have or currently am taking a few different courses, classes and tutorials . I am interested in the data science, analytics ...i think.  I recently was introduced to Kaggle and have been trying to learn.  I will look at the micro just as soon as i press send. Thank you for your videos and your insight.","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.6369}",Positive,0.4426136363636364,85
Haven't mentioned SQL,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,4
You are the best! I have been following your videos for sometime now and I must say you are awesome! As a newbie in Data Science I think I am at the right place to becoming a pro. Thanks Ken!,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.9198}",Positive,0.4976190476190476,40
Awesome list...thanks for sharing Ken Jee :),"{'neg': 0.0, 'neu': 0.288, 'pos': 0.712, 'compound': 0.872}",Positive,1.0,7
And here is me bulk downloading the Udemy course from the archive.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,12
Thanks,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",Positive,0.2,1
Recommend us some data scientists to follow besides you,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",Positive,0.0,9
Thank you!,"{'neg': 0.0, 'neu': 0.264, 'pos': 0.736, 'compound': 0.4199}",Positive,0.0,2
okay but what about datacamp? is that great also?,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.8156}",Positive,0.625,9
"You have not stressed upon the maths behind all those algorithms ...is it not so important? Topics like Single Value Decomposition and Principal Component Analysis are not taught in courses like these as they are mainly focused on practical application. 
So, should I learn these deep maths concepts or it is just enough to get some practical experience to become a data scientist. ???... Please help....","{'neg': 0.027, 'neu': 0.762, 'pos': 0.211, 'compound': 0.9155}",Positive,0.5246031746031746,65
Does it has certification,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,4
Are there any free sports analytics courses that you would recommend,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7003}",Positive,0.8,11
"I took the Udemy course:  The Data Science Course 2022: Complete Data Science Bootcamp 

What do you think about it ?? I have not finished yet, but I am not sure if it is necessary in order to find a job for me. I do not have experience. Furthermore, I am an International Business Administrator.","{'neg': 0.055, 'neu': 0.945, 'pos': 0.0, 'compound': -0.422}",Negative,0.5722222222222222,54
What are your thoughts on IBM data science for professionals,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,10
This is so helpful. Thank  you,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.7502}",Positive,0.0,6
Ken you're the GOAT!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,5
"Aside from the analysis portion, do you recommend spending a lot of time on data scraping, cleaning, or visualization?","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}",Positive,0.0,19
