comment,sentiment_scores,sentiment,subjectivity,word_count
"(Reminder that all resources I mentioned are linked in the description!)
Thanks for watching everyone! Let me know what your goals for this year are below! Mine Are:
- Do a project with a  Generative Adversarial Neural Net
- Enter at least 1 Kaggle Competition 
- Do at least 4 projects and share them on YouTube","{'neg': 0.047, 'neu': 0.841, 'pos': 0.112, 'compound': 0.5386}",Positive,0.25,53
thaks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,1
"Hey! Thanks for explaining everything so much in detail, just the video I was looking for. 
How much is leetcode & DSA required for a junior Data Scientist position? Thanks.","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.7263}",Positive,0.2,29
I have a question what can i get a job withou DS diploma since i am self taught?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,18
Enrolled into data science program from recommendation. Trying to understand but impossible to do so. Wish i an go back time and start from data analytic first,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.6943}",Positive,0.4444444444444444,27
I just finished and submitted my first submission to a Kaggle competition and am learning python on Kaggle. My goals are to create a more optimized algorithm and learn python and basics of data science,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.659}",Positive,0.41666666666666663,35
Thanks Ken. This was very helpful.,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7178}",Positive,0.25,6
"I'm currently learning Data Analytics to transition into ML engineering within 2 years according to my plan because I heard that ML engineering is not an entry level job and I need to be either in software development, mathematics, or data related fields to get in. I'm wondering if I can accomplish that while having no degrees in CS or Mathematics whatsoever and with just online cources and project creation. Please, give me your insight.","{'neg': 0.029, 'neu': 0.877, 'pos': 0.094, 'compound': 0.6124}",Positive,0.4,77
Is it only me or who smoothly finished math n stats for ds and is haunted by python,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4767}",Negative,0.75,18
Great video. Picked up some tips even as a masters graduate still refining my craft.,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.6249}",Positive,0.75,15
https://youtu.be/OZ3RVtH-iU8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,2
https://youtu.be/OZ3RVtH-iU8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,2
"Looked at several analyst roles in business such as those related to sales in Insurance companies and retail, they dont seem to require python at all or that much.  Whats used is Excel, Tableau / Power BI and if more advanced SQL. Why the focus on Python and R when these roles are likely to be those used extensively not by analysts but senior level Data Scientists? Is this the standard in Tech or Big Tech FAANG roles? It appears for a lot of companies these higher skill roles are not used in their daily usage of data for analyst positions in their actual work. Maybe its an HR thing requiring higher skill levels on paper like requiring an MS for junior data analyst roles, tsk...","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.7396}",Positive,0.3380952380952381,125
"does the 365 course focus on parallel project making too? I must say it looks very appealing if it does, pls let me know! ","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.1511}",Positive,0.325,24
♥,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Neutral,1.0,1
Great content!! Thanks a lot !!!,"{'neg': 0.0, 'neu': 0.269, 'pos': 0.731, 'compound': 0.8469}",Positive,0.475,5
Everytime I watch your videos I feel a little gentle push telling me I can do this and equipping me with all the tools mentally and physically. Thank you Ken. I always have new found confidence and a new way of thinking of things after watching your videos.  😊,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.813}",Positive,0.4253246753246753,49
"Hey Guys I am new 
Here is the Python Programming 
Let's Enjoy the beginners
https://www.youtube.com/watch?v=XAc0NlBMFCQ  
Good Luck","{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.8442}",Positive,0.5181818181818182,20
Lol i can solve leetcode problems on c++ but still cant code in SQL. I wish univiersities taught it.,"{'neg': 0.085, 'neu': 0.599, 'pos': 0.316, 'compound': 0.6124}",Positive,0.7,19
disliked for clickbait,"{'neg': 0.574, 'neu': 0.426, 'pos': 0.0, 'compound': -0.4019}",Negative,0.6,3
What is the difference between a Data Scientist and a Data Engineer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,12
Great Video! Thanks Ken!,"{'neg': 0.0, 'neu': 0.209, 'pos': 0.791, 'compound': 0.8217}",Positive,0.475,4
Hey!!! Sir ken  i am 27 years old can i kknow learn  data science,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.2,14
I am currently a Firefighter/Paramedic and am completely over the job. It’s time for a switch to better provide for my family and live a better life. Does anyone have an opinion on Practicum’s boot camps?,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.7003}",Positive,0.45999999999999996,40
"Thank you very much Ken. You are the man! Dude. I have a quick question about my situation. I am an Economist and I want to learn Data Science to excel in the Economic research or Market research and related data analysis. I have learnt Statistics in depth and Maths in not a barrier as well. Would you suggest me a roadmap that I can work on. Right now I am not doing career job but I want to switch asap.
Thanks again","{'neg': 0.018, 'neu': 0.835, 'pos': 0.148, 'compound': 0.8058}",Positive,0.34928571428571425,83
Aggghh! I miss Oahu,"{'neg': 0.486, 'neu': 0.514, 'pos': 0.0, 'compound': -0.2244}",Negative,0.0,4
