comment,sentiment_scores,sentiment,subjectivity,word_count
"Thanks for watching everyone! Please leave some of your data science goals below so you can be held accountable by the community on this channel. Also, feel free to like and subscribe to help this channel grow! Watch this video on why I am starting data science over again next: https://www.youtube.com/watch?v=uXLnbdHMf8w&ab_channel=KenJee !  Video on my #66DaysOfData Challenge: https://www.youtube.com/watch?v=qV_AlRwhI3I&ab_channel=KenJee. Written version of this article: https://towardsdatascience.com/how-i-would-learn-data-science-if-i-had-to-start-over-f3bf0d27ca87

A few more links:
My Favorite Free Data Science Courses: https://www.youtube.com/watch?v=Ip50cXvpWY4&ab_channel=KenJee
365 Data Science - Courses ( 57% Annual Discount): https://365datascience.pxf.io/P0jbBY (Affiliate Link)","{'neg': 0.012, 'neu': 0.751, 'pos': 0.236, 'compound': 0.9673}",Positive,0.4375,95
Please tell me how to pass Google Tensorflow certification,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.3182}",Positive,0.0,9
"how important is it, to know complex maths like algebra? In social science, we do also ""data science"". we write code and analyse data with machine learding models and interpret staticical outputs. but we never did anykind of math. what is your opinion on this? is it so important to know math as a data scientist? why job postings ask for STEM graduates and never social science like sociology, political science or psychology?","{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.8205}",Positive,0.43888888888888894,73
Do you think ai will replace data  scientists? I have applied to a master program of data science and im thinking about ai and data science.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,26
Is this video still reliable in 2023?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,7
Hello! I am a complete beginner but one day I’d like to work with AI. Would this be a good path to get there?,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.8122}",Positive,0.5,26
"hey Ken..I am beginner and this is my day 1...should i learn prob & stats and linear algebra before and then ML and DL...if, NO...then where to start..","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,31
"I really want to learn data science, but I actually know about Python...like how to code in Python.
But I actually want to know what to do to get started and be the best I data science.","{'neg': 0.0, 'neu': 0.77, 'pos': 0.23, 'compound': 0.8396}",Positive,0.175,38
"Will C++ help ? 
Our college they offer C++ as the only programming language is that something that might help me as a data scientist","{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.6597}",Positive,1.0,24
I told a friend of mine of my goals which are so impactful on our lives and he told me that he'll hold me accountable for it if I do not accomplish those goals in 21 days. This was my first day and I haven't made any move yet. Guys push me pursue it 🙏😵😟,"{'neg': 0.043, 'neu': 0.899, 'pos': 0.059, 'compound': 0.2187}",Positive,0.3333333333333333,57
"I am currently on the verge of graduating with my bachelor's degree in computer engineering, and starting my masters degree in data science in the near future, this video really helped me out!!! Accept my endless gratitude ☺️","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.7767}",Positive,0.32916666666666666,39
"Hey 👋 
I am starting Bsc Data science in Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 coming September 5th any tips senior??
Thankyou☺️","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.1,18
"My Goal for the weekend : Understand existing 3 Power BI Reports.

Learn 10 Excel functions and try it.

Complete one micro course of Python on Kaggle over the weekend.

Thank you it was a great piece of guidance.","{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.8625}",Positive,0.575,38
"Hi Ken, PLEASE reply. 
I’ve degree in Applied Mathematics and have 8 years of teaching experience at high school level. I’m starting to learn data analytics and  I’ve been watching a lot of videos for the past few days on data analytics and unable to find information about people from other countries other than US, I’m from Pakistan and here we don’t have enough opportunities for data analysts and my question is, do companies from US, UK or Canada hire entry level analysts from countries like Pakistan? 
Also, at 31 years of age would I be able to get a job? I know it’s very early to ask such questions but I don’t want to go down the path where I’ve no future. Thanks!
I’m really worried, I really want to get into data analytics field and I’ve always been interested in CS. 
Your guidance would be great for me.","{'neg': 0.037, 'neu': 0.825, 'pos': 0.138, 'compound': 0.934}",Positive,0.36216049382716053,170
Heyy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,1
"Always code on free time like the way you consume nonsense tiktok vids and other soc med material, you'll become a master in no time","{'neg': 0.16, 'neu': 0.651, 'pos': 0.189, 'compound': 0.2263}",Positive,0.5875,26
Hi Ken hope everything is going well. I have a question If I learn let’s say 5 hours a day how much time it takes become a data scientist? . Actually I have a good Python and SQL background knowledge. I mean I know all basic concepts.,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.7845}",Positive,0.3425,48
My goal is to become a data scientist by building good foundations in stats and projects.,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",Positive,0.6000000000000001,16
Is 30 years old too old to learn? I have an IT Degree,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.2,13
"hi, i am learning data science and i wondering which one is better for data science 
statictics or economics?","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",Positive,0.5,19
Degree on Accounting is useful in Data Science? Does It help on job application?,"{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.7149}",Positive,0.0,14
