comment,sentiment_scores,sentiment,subjectivity,word_count
"Thanks for watching everyone! For more videos on projects, check out these: 
The projects that got me a job: https://www.youtube.com/watch?v=imMPnCHvbkY
The projects that can get you a job: https://www.youtube.com/watch?v=yukdXV9LR48
My Favorite Free Learning Resources: https://www.youtube.com/watch?v=Ip50cXvpWY4&ab_channel=KenJee
365 Data Science - Paid Courses ( 57% Annual Discount): https://365datascience.pxf.io/P0jbBY","{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.8759}",Positive,0.625,52
"Thanks, I'm glad this was helpful","{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.8271}",Positive,0.6,7
"It is very good information, for the people who are new to DS learning. Thank you Ken once again.","{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.6901}",Positive,0.6172727272727273,19
Thank you for the recommendations.,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",Positive,0.0,5
hey man thanks for the motivation to push on,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.6486}",Positive,0.2,9
"Is it fine for me to post about these projects after doing them 
on LinkedIn like a small blog","{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.5106}",Positive,0.45,19
"Thankyou so much Ken. When I started to watch your videos, I got an idea about how to start learing data science, Where should I start....😍🥰","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.2,27
"Thank you, you are great","{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.765}",Positive,0.75,5
"Thank you for your helpful tips. Nice, to the point brief. Keep updating.","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7964}",Positive,0.6666666666666666,13
Perfect.video.for.anyone to start off in Kaggle with a great learning practice path. Thanks,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.7906}",Positive,0.475,13
