comment,sentiment_scores,sentiment,subjectivity,word_count
"After two days of searching and troubleshooting and frustration, this video has explained what nothing else I was finding could! Thank you!🙏","{'neg': 0.12, 'neu': 0.695, 'pos': 0.185, 'compound': 0.1739}",Positive,0.0,23
How did you uninstalled the anaconda you had,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,8
Thanks Ken,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",Positive,0.2,2
I love how the video is so well structured!!!,"{'neg': 0.0, 'neu': 0.434, 'pos': 0.566, 'compound': 0.8324}",Positive,0.6,9
"Hi, I updated my Spyder in Anaconda, and it is broken as I stopped it because the install took too long. So my idea is not using Spyder in the base env, but create another but I want the libraries that come by default in the base env. Is there a way to install all of them easily without looking for them on by one? Many thanks","{'neg': 0.049, 'neu': 0.797, 'pos': 0.154, 'compound': 0.8201}",Positive,0.619047619047619,67
ok,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",Positive,0.5,1
"install all (like jupyter, spyder vs code ) for every new environment ????????????? is it ???","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.45454545454545453,13
Sir I install anaconda but when I lunch jupyter it give me error and exit code error what should I do,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.7964}",Negative,0.0,21
Thanks a lot ken for such a wonderful and easy to understand video for anaconda insallation. It is really helpful for me and many more....,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.9117}",Positive,0.5333333333333333,25
"Thanks, one of my modules is business intelligence analysis this term. This helped me understand the basics","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.7184}",Positive,0.2,17
