comment,sentiment_scores,sentiment,subjectivity,word_count
"Thanks for watching! Feel free to upvote the kaggle notebook if you found it helpful! 
Kaggle notebook: https://www.kaggle.com/kenjee/titanic-project-example
My Kaggle Profile: https://www.kaggle.com/kenjee
Try watching my kaggle project from scratch series next! https://www.youtube.com/watch?v=r-DR9HBaipU&ab_channel=KenJee","{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.8713}",Positive,0.3333333333333333,37
"As a complete beginner, can anyone tell which topics should I learn before trying these types of competition.. anyone?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.4,19
The letters in the cabin correspond to the deck.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,9
"Kaggle is the creepiest organisation that has ever existed. In order to verify you for competitions with prize money they want a 3D model of your head!!! Wow! 

Let me repeat in case you think you miss read what I typed

KAGGLE WANTS a 3D MODEL OF YOUR HEAD!!!!

What are they doing with all those heads?!????? An AI company that harvests human heads!!!","{'neg': 0.023, 'neu': 0.825, 'pos': 0.152, 'compound': 0.8729}",Positive,0.4000000000000001,64
Thanks! It was insightful and too the point. A lecturer pointed to this website. I'm just starting off but haven't put my learnings together such as this video shows. Now I'm aware I have more self teaching to do,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.3054}",Positive,0.31,42
thanks for this video. Just started this problem and realized I have no idea what I'm doing,"{'neg': 0.251, 'neu': 0.612, 'pos': 0.137, 'compound': -0.3453}",Negative,0.2,18
"Aren't some fields ""redundant""? I mean, female with one spouse is almost automatically a ""Mrs."" and I don't know whether that leads to a bias or not. Thank you","{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.3632}",Negative,0.3513888888888889,31
"I took several days and went through this.  It was a good starting point.  You simply can't learn it all in a few days.  As Ken said, this is to be used as a framework.  Learning the various models and the revaluations are extremely important","{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.6115}",Positive,0.37959183673469393,46
Thanks for your great tutorial on youtube! I have a question In regrading to this analysis. In 24:40 you start talking about cross validation. I'm not sure If I clear understand your code here. You're making cross validation on X_train /y_train data set? Is this correct aproach? Or we should do this on whole data set X/y?,"{'neg': 0.067, 'neu': 0.807, 'pos': 0.126, 'compound': 0.6894}",Positive,0.3746031746031746,59
very good!,"{'neg': 0.0, 'neu': 0.223, 'pos': 0.777, 'compound': 0.54}",Positive,0.7800000000000001,2
"so much emphasis on the model, not enough on the data..","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.35,11
I scored 0.69 in my first kaggle competition 🥹,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.3333333333333333,9
"Good to know, in a sinking ship, you have more chances of survival if you're rich or a woman, or a rich woman is even better perhaps. Damn, seeing as I am a poor man, I'm never going to travel by ship. EVER 🤣","{'neg': 0.112, 'neu': 0.597, 'pos': 0.291, 'compound': 0.8516}",Positive,0.6166666666666667,46
"Actually Capt is not for the captain of the ship it seems , after some internet search i found out that Capt is referred to a different captain that was onboard the titanic as a passenger who unfortunatly lost his life in the sinking.","{'neg': 0.056, 'neu': 0.944, 'pos': 0.0, 'compound': -0.3182}",Negative,0.35,43
can someone pls explain what is the meaning of len(x.split(' '))......in cabin column?,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}",Positive,0.0,14
Great video! Iwas super clueless before this video but after watching it i became much less clueless but also found out that i was even more clueless haha! I just moved over from c to python and see a lot of not so familiar python code(i only have the basics😭). Can you tell me what parts of python i had to go through to start with? Thanks again for the video!,"{'neg': 0.103, 'neu': 0.721, 'pos': 0.176, 'compound': 0.7841}",Positive,0.4979166666666667,72
"Wow this is a gold mine! Can't believe you went through all that work! Looking through all this, it seems like to become a great data scientist, it's not just about the skill. It is about intelligence and your ability to understand and see things that aren't clear to the normal human being. I have a fairly normal IQ and i am currently wondering if i should continue building my skills in order to become a data scientist.","{'neg': 0.026, 'neu': 0.778, 'pos': 0.196, 'compound': 0.9349}",Positive,0.5619047619047619,81
I will try this very soon. Bookmarking this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.3,8
Bless me for my success 🔥🇮🇳🙏,"{'neg': 0.0, 'neu': 0.381, 'pos': 0.619, 'compound': 0.7579}",Positive,0.0,6
"I am trying to understand the one-hot encoder method you suggested around 22:03, applying this method to real-world datasets. I ran into this issue before and had to merge train and test data sets to be able to apply a one-hot encoder. What is the solution to the issue of not having the same columns when we apply a one-hot encoder to train and test sets separately? I don't know how to approach that.","{'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.3182}",Positive,0.375,75
"there too many ""ACTUALLY"" in the video lol. its totally fine tho","{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.5984}",Positive,0.44999999999999996,12
❤,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,1
